#short_name y0 y0_err v0 v0_err w w_err a0 a0_err aL aL_err aR aR_err R02(L/0) R12(R/0)
A1067975_B 0.13452 0.02637 -7.28634 0.0275 1.12749 0.02607 5.45259 0.11894 1.15094 0.1063 2.16679 0.10792
A108185_B -0.00069 0.00727 -10.31375 0.07174 1.09164 0.06795 0.52749 0.03272 0.13236 0.02974 0.30176 0.03056
A109862_B 0.04055 0.01637 -12.01928 0.07938 1.38275 0.06608 1.3054 0.0652 0.34863 0.05872 0.65049 0.0613
A1100930_B 0.01945 0.01657 -53.63199 0.12284 1.38733 0.10203 0.86769 0.06649 0.24153 0.05933 0.41554 0.06161
A1115420_B 0.08082 0.02059 -58.0892 0.095 1.73541 0.07074 1.7163 0.0748 0.72959 0.06621 0.7446 0.07249
A123056_B 0.00184 0.007 -31.35838 0.14296 1.65366 0.10518 0.37375 0.02676 0.05595 0.02292 0.25409 0.02601
A1337491_B 0.00272 0.01333 -40.2339 0.10693 1.51157 0.08246 0.86017 0.05176 0.18355 0.04569 0.5176 0.04921
A133941_B 0.00406 0.01542 -49.20316 0.05775 1.57994 0.04406 1.89747 0.05833 0.65438 0.05155 1.05036 0.05544
A1734812_B 0.01203 0.01448 -17.42042 0.28082 1.99769 0.18572 0.51637 0.05425 0.17693 0.04365 0.36712 0.05605
A173492_B 0.01379 0.01636 -17.53676 0.15525 1.69389 0.11436 0.83287 0.06108 0.21269 0.05284 0.49095 0.06008
A173692_B 0.0029 0.00461 -19.72936 0.07777 0.93422 0.07914 0.30547 0.02349 0.06223 0.02077 0.13416 0.02111
A174190_B 0.00005 0.00552 -4.47536 0.07313 1.03255 0.07183 0.38622 0.0258 0.10598 0.02331 0.20181 0.02382
A183340_B 0.00339 0.00869 -9.64097 0.09626 0.61984 0.09976 0.39047 0.05759 0.11526 0.05062 0.18078 0.05151
A188791_B 0.00492 0.00843 -0.99673 0.11334 1.30465 0.09614 0.36212 0.033 0.19573 0.03103 0.30695 0.03246
A188950_B 0.00848 0.0131 2.99989 0.07902 1.55607 0.06033 1.12396 0.04912 0.39744 0.04404 0.6982 0.04775
A1890320_B 0.01018 0.00884 2.20522 0.03577 1.18993 0.03232 1.39671 0.03811 0.31487 0.0345 0.71532 0.03546
A189780_B -0.01064 0.01303 8.50397 0.08765 1.51931 0.06993 1.02551 0.04969 0.31361 0.04443 0.49461 0.0474
A1925970_B -0.00214 0.01146 7.06219 0.02668 1.18354 0.02457 2.47773 0.04991 0.58396 0.04486 1.05785 0.04574
A192600_B -0.00805 0.0127 6.6857 0.03953 1.22706 0.03616 1.86648 0.05382 0.58574 0.04861 0.7512 0.04943
A1949341_B 0.0064 0.00639 15.57606 0.06587 1.19883 0.05913 0.55193 0.02746 0.11977 0.02483 0.28434 0.02553
A196451_B -0.01556 0.00976 17.36991 0.07573 1.55372 0.06165 0.9609 0.03804 0.19553 0.03342 0.37826 0.03601
A2033162_B 0.01704 0.01983 7.86374 0.06771 1.56694 0.0516 2.08556 0.07587 0.61632 0.06735 1.23972 0.07353
A20653816_B -0.00412 0.00811 10.50296 0.04233 0.84334 0.04398 0.92147 0.04423 0.24362 0.03931 0.47313 0.0402
A374271_B -0.01761 0.00907 43.33317 0.06459 1.41938 0.05316 1.00894 0.03845 0.08525 0.03371 0.45157 0.03552
A59780_B 0.00453 0.01181 22.17644 0.05615 1.2221 0.05017 1.27351 0.05251 0.33394 0.04724 0.60281 0.04848
A695410_B 0.02871 0.01338 12.87651 0.1663 1.75665 0.12224 0.46042 0.05015 0.36008 0.04428 0.55432 0.04887
A78103_B 0.01859 0.00786 -4.17571 0.05641 1.3701 0.0466 0.89337 0.03264 0.27256 0.0295 0.4925 0.03092
A781223_B 0.00771 0.01153 -4.11435 0.04909 1.26606 0.04224 1.44196 0.05054 0.36209 0.04572 0.80109 0.04752
A81760_B 0.06054 0.01232 -5.15032 0.08593 1.59514 0.06455 1.06986 0.04873 0.38081 0.04321 0.65365 0.04747
A818770_B 0.03211 0.02394 9.62626 0.14841 2.04976 0.09528 1.63874 0.09122 0.94161 0.07684 1.12906 0.09418
A85400_B 0.00441 0.00837 -37.40379 0.16254 1.65053 0.11681 0.3932 0.03353 0.11786 0.02885 0.30245 0.03244
A942590_B -0.00535 0.00762 -47.00975 0.16347 1.24205 0.13842 0.25321 0.03322 0.07788 0.03049 0.20756 0.0322
H054802545HCN_B -0.00749 0.00724 -9.93729 0.05263 1.16408 0.04873 0.80711 0.03356 0.27488 0.03036 0.37397 0.03093
IRAS053732349_B 0.01701 0.01066 1.95549 0.08057 0.89219 0.08284 0.67843 0.05865 0.21098 0.05238 0.33963 0.05335
S235HCN14MHZ_B 0.01995 0.00856 -17.4441 0.02654 1.0131 0.02646 1.8312 0.04366 0.50707 0.03865 0.65491 0.03895
